,Pressure (Pa)
Port 1,-2231.643321797772
Port 2,-1818.438057087222
Port 3,-1670.7812280973121
Port 4,-1405.9829622984118
Port 5,-1017.9756783430532
Port 6,-1058.3049080000687
Port 7,-778.2227323195823
Port 8,-622.0266600143179
Port 9,-405.50036362682204
Port 10,-209.52598734610396
Port 11,-95.48676574196453
Port 12,-52.260342596072164
Port 13,48.60754767660627
Port 14,146.64813778904684
Port 15,207.0897091591125
Port 16,241.4652489289125
Port 17,291.08669254374854
Port 18,402.32942369351485
Port 19,509.5248313074358
